Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,Precision,Recall
KNeighborsClassifier,0.9775583482944344,0.9700212122265883,0.9700212122265882,0.977951292793651,0.19945788383483887,,
LogisticRegression,0.9838420107719928,0.9679730152658483,0.9679730152658483,0.9838874900362792,0.0476071834564209,,
PassiveAggressiveClassifier,0.9829443447037702,0.9646173105678617,0.9646173105678616,0.9829684450123266,0.07967805862426758,,
SVC,0.9901256732495511,0.9630872483221476,0.9630872483221476,0.9899644237940121,0.41121697425842285,,
Perceptron,0.9793536804308797,0.9625447717077581,0.9625447717077581,0.9794972162002042,0.06353092193603516,,
LinearSVC,0.9775583482944344,0.9586709322947455,0.9586709322947455,0.9777143654350046,0.6661472320556641,,
LinearDiscriminantAnalysis,0.9856373429084381,0.9548214347810968,0.9548214347810967,0.9854250083802731,0.19042563438415527,,
CalibratedClassifierCV,0.9838420107719928,0.9509475953680844,0.9509475953680843,0.9836031344278073,3.473905563354492,,
RidgeClassifierCV,0.9847396768402155,0.9457905901171888,0.9457905901171889,0.9843940957485575,0.1896355152130127,,
RidgeClassifier,0.9847396768402155,0.9457905901171888,0.9457905901171889,0.9843940957485575,0.07952690124511719,,
SGDClassifier,0.9820466786355476,0.9442361859721111,0.9442361859721112,0.981725504082104,0.1262962818145752,,
LGBMClassifier,0.9838420107719928,0.9395973154362416,0.9395973154362416,0.9833972987334718,0.5844659805297852,,
NearestCentroid,0.9515260323159784,0.9322947456271516,0.9322947456271516,0.9531400082474641,0.07917451858520508,,
AdaBoostClassifier,0.9721723518850988,0.9300239941579441,0.9300239941579441,0.9718879373623577,7.42930269241333,,
BernoulliNB,0.9515260323159784,0.9237820356782697,0.9237820356782697,0.9527965805156716,0.11056876182556152,,
GaussianNB,0.9587073608617595,0.9194144034495948,0.9194144034495948,0.9590504683991882,0.06353354454040527,,
BaggingClassifier,0.9721723518850988,0.9073234342942589,0.9073234342942588,0.9711725099157773,24.278566360473633,,
DecisionTreeClassifier,0.952423698384201,0.8874117606148069,0.8874117606148069,0.9519374412969338,4.657213449478149,,
RandomForestClassifier,0.9694793536804309,0.8859060402684564,0.8859060402684564,0.96777818977823,5.720006227493286,,
ExtraTreesClassifier,0.9685816876122083,0.8825503355704698,0.8825503355704698,0.9667709223484764,0.5831761360168457,,
ExtraTreeClassifier,0.8976660682226212,0.7877038634071705,0.7877038634071704,0.8985163782066834,0.04770231246948242,,
QuadraticDiscriminantAnalysis,0.9281867145421903,0.7315436241610738,0.7315436241610738,0.9164390850255172,0.31581974029541016,,
LabelPropagation,0.9030520646319569,0.6375838926174496,0.6375838926174496,0.8780672281920835,0.38545656204223633,,
LabelSpreading,0.9030520646319569,0.6375838926174496,0.6375838926174496,0.8780672281920835,0.5537536144256592,,
DummyClassifier,0.8662477558348295,0.5,0.5,0.8041645833387305,0.0472104549407959,,
