Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,Precision,Recall
PassiveAggressiveClassifier,0.9793536804308797,0.9597072017247974,0.9597072017247974,0.9794404977228836,0.6256046295166016,,
LinearSVC,0.9820466786355476,0.9584240358869145,0.9584240358869145,0.9819953181322318,30.770405769348145,,
Perceptron,0.9631956912028725,0.9503807768543311,0.950380776854331,0.9642046849568742,0.8135843276977539,,
LogisticRegression,0.9829443447037702,0.9475918906700977,0.9475918906700977,0.9826658229169298,0.46571969985961914,,
CalibratedClassifierCV,0.9829443447037702,0.9419167507041764,0.9419167507041765,0.9825581070130938,127.2633843421936,,
QuadraticDiscriminantAnalysis,0.9631956912028725,0.9418680669054491,0.9418680669054491,0.9639334413846348,4.743386268615723,,
ExtraTreesClassifier,0.9829443447037702,0.936241610738255,0.936241610738255,0.9824467308713395,14.1847083568573,,
LGBMClassifier,0.9793536804308797,0.9284939319122301,0.9284939319122302,0.9787513057916215,0.835864782333374,,
BernoulliNB,0.9793536804308797,0.9256563619292694,0.9256563619292694,0.9786821737166216,0.44292688369750977,,
SVC,0.9766606822262118,0.9241019577841917,0.9241019577841917,0.9760183203927928,9.42315936088562,,
RidgeClassifierCV,0.9712746858168761,0.9209931494940362,0.9209931494940362,0.9707608065313663,5.249147415161133,,
DecisionTreeClassifier,0.966786355475763,0.9184024759189067,0.9184024759189066,0.9664468929808783,3.5107674598693848,,
RandomForestClassifier,0.9766606822262118,0.912751677852349,0.912751677852349,0.9757003182918924,4.804325580596924,,
BaggingClassifier,0.9694793536804309,0.9086066001321418,0.9086066001321417,0.9686393420521134,11.622905254364014,,
GaussianNB,0.9156193895870736,0.905894217060194,0.9058942170601941,0.9214851770834801,0.5180540084838867,,
RidgeClassifier,0.9640933572710951,0.9054977918419863,0.9054977918419863,0.9634510081642079,0.7337386608123779,,
LinearDiscriminantAnalysis,0.9631956912028725,0.9021420871439998,0.9021420871439997,0.9624794176958044,5.475831031799316,,
ExtraTreeClassifier,0.9622980251346499,0.8987863824460132,0.8987863824460132,0.9615045092462259,0.5136492252349854,,
NearestCentroid,0.9703770197486535,0.889261744966443,0.889261744966443,0.9687815660482104,0.49860572814941406,,
SGDClassifier,0.9622980251346499,0.8590604026845637,0.8590604026845637,0.9596067766277254,0.7427504062652588,,
AdaBoostClassifier,0.9488330341113106,0.8257502521125292,0.8257502521125292,0.9448655270450029,6.633546352386475,,
KNeighborsClassifier,0.9201077199281867,0.7041798518621553,0.7041798518621553,0.9053600480897102,0.6609005928039551,,
LabelPropagation,0.9129263913824057,0.674496644295302,0.674496644295302,0.8939995017732666,1.0338842868804932,,
LabelSpreading,0.9129263913824057,0.674496644295302,0.674496644295302,0.8939995017732666,1.1421635150909424,,
DummyClassifier,0.8662477558348295,0.5,0.5,0.8041645833387305,0.35860705375671387,,
